Predictions,PredictionCount
"amber, aquatic",5
"pink rose, floral",1
"spring rain, jasmine, rain",1
"chamomile, lemon",3
"strawberry, rose, green apple, new car, orange, jasmine, vanilla",1
"fruity, leather",1
"eucalyptus, lemon",5
"mint, floral",1
"sandalwood, musk",1
"coconut, lime",10
"citrus, oriental",5
"woody, oriental, leathery",1
"lavender, rose",1
"spicy, oriental, floral",1
"musky, woodsy",2
"jasmine, mint",1
"fruity, woody",1
"oriental, flowery",2
balsamic,3
"tropical, coconut",4
"fruity, citrusy, woods",1
"oriental, spice",3
"balsamic, pine",1
"citrus, gourmand, floral",3
"amber, citrus, floral",1
"jasmine, rain",1
"woodsy, aquatic",7
"ginger, tea",1
"amber, oriental, vanilla",1
green tea,6
"grapefruit, vanilla",3
"clean fresh, floral",2
"amber, musky",3
"wood, leather",1
"vanilla bean, green apple, eucalyptus, rain forest, apple, cinnamon",1
"aloe vera, rose",3
"tea tree, lemon",1
"lemon, vanilla",2
"oriental, woodsy, floral",1
"amber, mandarin, patchouli, orange, bergamot",1
"mango, apple",4
"fruity, luscious floral",1
"musky, lemon",1
royal pine,1
"citrus, herbal, aquatic",1
"melon, cucumber",1
"tuberose, floral",2
"fruity, fougere",1
"apple cinnamon, rain, raspberry, vanilla",3
"coconut, mandarin",1
"flowery, green tea",1
"gourmand, floral",9
"flower, flowers, wood",1
"sandalwood, wood, floral",1
"fresh linen, fresh clean",1
"citrus, grapefruit",2
"musky, sandalwood",1
"linen, citrus, luscious apple, floral, mango, assorted",1
"woody, rosemary",2
"apple, mint",2
"fruity, musk, floral",4
"fresh linen, lavender, strawberry",2
"citrus, clean fresh",2
"jasmine, tea",4
"lavender, sage",3
"fruity, citrusy, warm spicy, floral",2
"peach, orange blossom",1
"cucumber melon, green apple",1
"gourmand, fruity",7
luscious mango,2
"berry, new car, jasmine",3
"sandalwood, vanilla, pear, floral",1
"peach, lavender",1
"mango, coconut",1
"honeysuckle, floral",2
"tea, bergamot",1
"fruity, tea",2
bergamot,1
"oriental, vanilla, floral",3
"orchid, lavender",1
"gourmand, spicy",3
french vanilla,4
"raspberry, lemon",3
"fresh linen, lavender",1
"oriental, almond",1
"lavender, green apple",1
"lavender, mint",1
"herbal, almond",1
passion fruit,3
"bergamot, rose, amber, wood, patchouli, lemon, sandalwood, jasmine",1
"citrus, apple",4
"tropical, coconut, fruity",1
"chypre, oriental",3
"citrus, musk",1
"citrus, rose",1
"patchouli, lavender",1
"citrus, herbal, vanilla",1
"ginger, orange",1
"eucalyptus, mint",1
"pine, sage",1
"amber, spicy",1
"patchouli, orange",1
"florally, musk, woodsy",1
"amber, spice, floral",1
"amber, wood, citrus",3
"coconut, jasmine",1
"spicy, woody, fruity, floral",1
vanillaroma,2
"tropical, lime, lavender, lemon",1
"jasmine, floral",2
"citrus, spicy",3
"sage, green tea",1
"woodsy, leather",1
"amber, citrusy",2
"spiced apple, clove",1
"jasmine, orange, rose",1
"fresh clean, lime",1
"lavender, eucalyptus",1
"amber, orange",1
"jasmine, melon",1
"coconut, lemon",1
"citrus, lily, lavender, rose",1
"flower, orange",1
white lily,1
"woodsy, fresh clean, floral",1
"lavender, lemon",1
"apple, chamomile",2
"woody, spice",3
"earthy, spicy",3
"balsamic, woodsy, spicy",1
"florally, almond, spicy",1
"berry, lavender",2
"light floral, fruity",3
"coconut, orchid",2
"mint, lemon",1
"earthy, woodsy",1
"peppermint, chocolate",1
"berry, cherry",2
"tea tree, eucalyptus",1
"woodsy, mossy",1
"citrus, lemon, floral",5
"earthy, vanilla",1
"berry, apple",1
"strawberry, lemon",1
"citrusy, tropical",1
"citrus, tropical",1
lemon mint,1
"magnolia, cherry blossom",3
"woody, orchid, floral",1
"spice, floral",1
"ginger, apple",1
"tropical, lemon",1
"luscious fruity, floral",1
"grapefruit, apple, musk, orange, tea",2
"oriental, citrusy",1
"jasmine, tuberose",2
"fruity, pear",1
"woody, oriental, floral",2
"orchid, floral",1
"flower, fruity, citrus, floral",1
"woody, fruity, spicy",4
"raspberry, vanilla",2
"honeysuckle, green tea",1
"musky, woody, spicy",1
"florally, aquatic",4
"mandarin orange, grapefruit",2
"musky, tropical",1
"leather, floral",1
"apple, lavender, rose, lemon",1
"bergamot, ginger, orchid, musk, sandalwood, vanilla",1
"mango, pineapple",2
"citrus, berry",1
"amber, lemon",1
"citrus, lime, lemon",1
"wild berry, cherry, orchid, rose, vanilla",1
"oriental, woodsy, spicy",1
"orange, floral",1
"gourmand, leather",1
"flowery, floral",1
"citrus, herbal",2
"fruity, citrusy, spicy",1
"peach, pomegranate",1
"citrus, fruity, clean fresh",1
"citrus, musky",1
"apple cinnamon, cinnamon",1
"citrus, musk, spicy",2
"amber, musk",2
"pear, vanilla",1
"berry, new car, vanilla",1
"woody, leathery",1
"earthy, flowery, rose",1
"amber, oriental",1
"citrus, wood, musk",1
"apple, lemon",1
"woody, florally",1
"pine, thyme",1
"mango, mandarin",1
"peach, tea",1
"tea, vanilla, green tea",1
"citrus, leather",2
red rose,1
"wood, flower, musk, orange, cinnamon, vanilla",1
"spice, sugar spice",1
"cinnamon, raspberry",1
"tropical, mango",1
"oriental, wood, spicy",1
"cinnamon, berry, lavender, ocean mist, vanilla",2
"berry, orchid",1
"honeysuckle, rose, wood, patchouli, flower, musk, sandalwood, jasmine",1
"tropical, flowery",2
"coconut, vanilla",1
"pomegranate, lime",1
"floral, oriental, gourmand, vanilla",1
"citrus, cucumber",1
"orange blossom, vanilla",1
"tea tree, lemony",1
"clean fresh, mint",1
"musky, earthy",1
"flowers, melon, vanilla",1
"wood, mossy",1
"woody, fougere, leather",1
"patchouli, musk, vanilla",1
"mint, cucumber",1
"mango, pomegranate",1
"pomegranate, cherry",1
